Relative Path,File Name,Assert Location (Line Number),Assert Count
numpy-git/numpy/distutils/msvccompiler.py,msvccompiler.py,,0
numpy-git/numpy/distutils/armccompiler.py,armccompiler.py,,0
numpy-git/numpy/distutils/intelccompiler.py,intelccompiler.py,,0
numpy-git/numpy/distutils/command/build.py,build.py,,0
numpy-git/numpy/distutils/command/config_compiler.py,config_compiler.py,,0
numpy-git/numpy/distutils/command/build_ext.py,build_ext.py,,0
numpy-git/numpy/distutils/command/config.py,config.py,,0
numpy-git/numpy/distutils/command/install_headers.py,install_headers.py,,0
numpy-git/numpy/distutils/command/build_py.py,build_py.py,,0
numpy-git/numpy/distutils/command/build_src.py,build_src.py,,0
numpy-git/numpy/distutils/command/__init__.py,__init__.py,11,1
numpy-git/numpy/distutils/command/sdist.py,sdist.py,,0
numpy-git/numpy/distutils/command/build_scripts.py,build_scripts.py,,0
numpy-git/numpy/distutils/command/bdist_rpm.py,bdist_rpm.py,,0
numpy-git/numpy/distutils/command/install_clib.py,install_clib.py,,0
numpy-git/numpy/distutils/command/build_clib.py,build_clib.py,,0
numpy-git/numpy/distutils/command/autodist.py,autodist.py,,0
numpy-git/numpy/distutils/command/egg_info.py,egg_info.py,,0
numpy-git/numpy/distutils/command/install.py,install.py,,0
numpy-git/numpy/distutils/command/develop.py,develop.py,,0
numpy-git/numpy/distutils/command/install_data.py,install_data.py,,0
numpy-git/numpy/distutils/_shell_utils.py,_shell_utils.py,"68,71",2
numpy-git/numpy/distutils/ccompiler_opt.py,ccompiler_opt.py,"601,602,613,1053,1066,1097,1254,1260,1281,1351,1393,1427,1558,1559,1575,1596,1646,1648,1915,2511",20
numpy-git/numpy/conftest.py,conftest.py,,0
numpy-git/numpy/compat/py3k.py,py3k.py,,0
numpy-git/numpy/compat/_pep440.py,_pep440.py,,0
numpy-git/numpy/compat/__init__.py,__init__.py,,0
numpy-git/numpy/compat/setup.py,setup.py,,0
numpy-git/numpy/compat/_inspect.py,_inspect.py,,0
numpy-git/numpy/core/umath.py,umath.py,,0
numpy-git/numpy/core/fromnumeric.py,fromnumeric.py,,0
numpy-git/numpy/core/feature_detection_math.h,feature_detection_math.h,,0
numpy-git/numpy/core/feature_detection_stdio.h,feature_detection_stdio.h,,0
numpy-git/numpy/core/_dtype.py,_dtype.py,,0
numpy-git/numpy/core/_add_newdocs.py,_add_newdocs.py,,0
numpy-git/numpy/core/_methods.py,_methods.py,,0
numpy-git/numpy/core/_internal.py,_internal.py,,0
numpy-git/numpy/core/npymath.ini.in,npymath.ini.in,,0
numpy-git/numpy/core/_string_helpers.py,_string_helpers.py,,0
numpy-git/numpy/core/multiarray.py,multiarray.py,,0
numpy-git/numpy/core/_asarray.py,_asarray.py,,0
numpy-git/numpy/core/include/numpy/ndarrayobject.h,ndarrayobject.h,,0
numpy-git/numpy/core/include/numpy/utils.h,utils.h,,0
numpy-git/numpy/core/include/numpy/npy_1_7_deprecated_api.h,npy_1_7_deprecated_api.h,,0
numpy-git/numpy/core/include/numpy/oldnumeric.h,oldnumeric.h,,0
numpy-git/numpy/core/include/numpy/experimental_dtype_api.h,experimental_dtype_api.h,,0
numpy-git/numpy/core/include/numpy/libdivide/libdivide.h,libdivide.h,,0
numpy-git/numpy/core/include/numpy/libdivide/LICENSE.txt,LICENSE.txt,,0
numpy-git/numpy/core/include/numpy/old_defines.h,old_defines.h,,0
numpy-git/numpy/core/include/numpy/ufuncobject.h,ufuncobject.h,,0
numpy-git/numpy/core/include/numpy/npy_common.h,npy_common.h,,0
numpy-git/numpy/core/include/numpy/npy_cpu.h,npy_cpu.h,,0
numpy-git/numpy/core/include/numpy/.doxyfile,.doxyfile,,0
numpy-git/numpy/core/include/numpy/ndarraytypes.h,ndarraytypes.h,,0
numpy-git/numpy/core/include/numpy/npy_no_deprecated_api.h,npy_no_deprecated_api.h,,0
numpy-git/numpy/core/include/numpy/npy_3kcompat.h,npy_3kcompat.h,,0
numpy-git/numpy/core/include/numpy/npy_os.h,npy_os.h,,0
numpy-git/numpy/core/include/numpy/npy_endian.h,npy_endian.h,,0
numpy-git/numpy/core/include/numpy/npy_interrupt.h,npy_interrupt.h,,0
numpy-git/numpy/core/include/numpy/_neighborhood_iterator_imp.h,_neighborhood_iterator_imp.h,,0
numpy-git/numpy/core/include/numpy/numpyconfig.h,numpyconfig.h,,0
numpy-git/numpy/core/include/numpy/arrayscalars.h,arrayscalars.h,,0
numpy-git/numpy/core/include/numpy/random/distributions.h,distributions.h,,0
numpy-git/numpy/core/include/numpy/random/bitgen.h,bitgen.h,,0
numpy-git/numpy/core/include/numpy/npy_math.h,npy_math.h,,0
numpy-git/numpy/core/include/numpy/halffloat.h,halffloat.h,,0
numpy-git/numpy/core/include/numpy/arrayobject.h,arrayobject.h,,0
numpy-git/numpy/core/include/numpy/noprefix.h,noprefix.h,,0
numpy-git/numpy/core/mlib.ini.in,mlib.ini.in,,0
numpy-git/numpy/core/records.py,records.py,,0
numpy-git/numpy/core/_add_newdocs_scalars.py,_add_newdocs_scalars.py,,0
numpy-git/numpy/core/__init__.py,__init__.py,,0
numpy-git/numpy/core/_machar.py,_machar.py,,0
numpy-git/numpy/core/setup_common.py,setup_common.py,,0
numpy-git/numpy/core/memmap.py,memmap.py,,0
numpy-git/numpy/core/overrides.py,overrides.py,119,1
numpy-git/numpy/core/getlimits.py,getlimits.py,,0
numpy-git/numpy/core/_dtype_ctypes.py,_dtype_ctypes.py,,0
numpy-git/numpy/core/defchararray.py,defchararray.py,,0
numpy-git/numpy/core/shape_base.py,shape_base.py,,0
numpy-git/numpy/core/setup.py,setup.py,,0
numpy-git/numpy/core/code_generators/generate_ufunc_api.py,generate_ufunc_api.py,,0
numpy-git/numpy/core/code_generators/generate_numpy_api.py,generate_numpy_api.py,,0
numpy-git/numpy/core/code_generators/generate_umath_doc.py,generate_umath_doc.py,,0
numpy-git/numpy/core/code_generators/__init__.py,__init__.py,,0
numpy-git/numpy/core/code_generators/genapi.py,genapi.py,,0
numpy-git/numpy/core/code_generators/generate_umath.py,generate_umath.py,"86,89",2
numpy-git/numpy/core/code_generators/ufunc_docstrings.py,ufunc_docstrings.py,"53,55,57",3
numpy-git/numpy/core/code_generators/cversions.txt,cversions.txt,,0
numpy-git/numpy/core/code_generators/numpy_api.py,numpy_api.py,,0
numpy-git/numpy/core/numeric.py,numeric.py,"1645,1655,1670",3
numpy-git/numpy/core/function_base.py,function_base.py,,0
numpy-git/numpy/core/einsumfunc.py,einsumfunc.py,,0
numpy-git/numpy/core/umath_tests.py,umath_tests.py,,0
numpy-git/numpy/core/_ufunc_config.py,_ufunc_config.py,,0
numpy-git/numpy/core/_exceptions.py,_exceptions.py,"27,44",2
numpy-git/numpy/core/numerictypes.py,numerictypes.py,,0
numpy-git/numpy/core/feature_detection_locale.h,feature_detection_locale.h,,0
numpy-git/numpy/core/_type_aliases.py,_type_aliases.py,,0
numpy-git/numpy/core/cversions.py,cversions.py,,0
numpy-git/numpy/core/feature_detection_misc.h,feature_detection_misc.h,,0
numpy-git/numpy/core/arrayprint.py,arrayprint.py,,0
numpy-git/numpy/core/src/npysort/npysort_common.h,npysort_common.h,,0
numpy-git/numpy/core/src/npysort/x86-qsort.dispatch.cpp,x86-qsort.dispatch.cpp,,0
numpy-git/numpy/core/src/npysort/x86-qsort.h,x86-qsort.h,,0
numpy-git/numpy/core/src/npysort/radixsort.cpp,radixsort.cpp,,0
numpy-git/numpy/core/src/npysort/heapsort.cpp,heapsort.cpp,,0
numpy-git/numpy/core/src/npysort/timsort.cpp,timsort.cpp,,0
numpy-git/numpy/core/src/npysort/binsearch.cpp,binsearch.cpp,,0
numpy-git/numpy/core/src/npysort/selection.cpp,selection.cpp,,0
numpy-git/numpy/core/src/npysort/mergesort.cpp,mergesort.cpp,,0
numpy-git/numpy/core/src/npysort/quicksort.cpp,quicksort.cpp,,0
numpy-git/numpy/core/src/dummymodule.c,dummymodule.c,,0
numpy-git/numpy/core/src/multiarray/hashdescr.c,hashdescr.c,,0
numpy-git/numpy/core/src/multiarray/strfuncs.c,strfuncs.c,,0
numpy-git/numpy/core/src/multiarray/experimental_public_dtype_api.c,experimental_public_dtype_api.c,,0
numpy-git/numpy/core/src/multiarray/nditer_templ.c.src,nditer_templ.c.src,,0
numpy-git/numpy/core/src/multiarray/arrayfunction_override.c,arrayfunction_override.c,"16,415,416",3
numpy-git/numpy/core/src/multiarray/common.c,common.c,212,1
numpy-git/numpy/core/src/multiarray/item_selection.c,item_selection.c,"1666,2344",2
numpy-git/numpy/core/src/multiarray/datetime_strings.c,datetime_strings.c,,0
numpy-git/numpy/core/src/multiarray/scalarapi.c,scalarapi.c,,0
numpy-git/numpy/core/src/multiarray/dtype_transfer.h,dtype_transfer.h,"61,95",2
numpy-git/numpy/core/src/multiarray/calculation.h,calculation.h,,0
numpy-git/numpy/core/src/multiarray/buffer.c,buffer.c,"150,152,407,480,498",5
numpy-git/numpy/core/src/multiarray/getset.h,getset.h,,0
numpy-git/numpy/core/src/multiarray/vdot.c,vdot.c,,0
numpy-git/numpy/core/src/multiarray/einsum_debug.h,einsum_debug.h,,0
numpy-git/numpy/core/src/multiarray/_multiarray_tests.c.src,_multiarray_tests.c.src,739,1
numpy-git/numpy/core/src/multiarray/convert_datatype.h,convert_datatype.h,,0
numpy-git/numpy/core/src/multiarray/argfunc.dispatch.c.src,argfunc.dispatch.c.src,,0
numpy-git/numpy/core/src/multiarray/scalartypes.h,scalartypes.h,,0
numpy-git/numpy/core/src/multiarray/multiarraymodule.c,multiarraymodule.c,"446,491,561,596",4
numpy-git/numpy/core/src/multiarray/sequence.c,sequence.c,,0
numpy-git/numpy/core/src/multiarray/nditer_api.c,nditer_api.c,"2051,2230,2243",3
numpy-git/numpy/core/src/multiarray/array_assign_array.c,array_assign_array.c,,0
numpy-git/numpy/core/src/multiarray/datetime_busdaycal.c,datetime_busdaycal.c,,0
numpy-git/numpy/core/src/multiarray/ctors.h,ctors.h,,0
numpy-git/numpy/core/src/multiarray/abstractdtypes.c,abstractdtypes.c,"26,65,79,221",4
numpy-git/numpy/core/src/multiarray/convert.c,convert.c,,0
numpy-git/numpy/core/src/multiarray/iterators.c,iterators.c,1762,1
numpy-git/numpy/core/src/multiarray/arraytypes.h.src,arraytypes.h.src,,0
numpy-git/numpy/core/src/multiarray/mapping.h,mapping.h,,0
numpy-git/numpy/core/src/multiarray/number.c,number.c,,0
numpy-git/numpy/core/src/multiarray/refcount.c,refcount.c,"78,140,351",3
numpy-git/numpy/core/src/multiarray/npy_buffer.h,npy_buffer.h,,0
numpy-git/numpy/core/src/multiarray/descriptor.h,descriptor.h,,0
numpy-git/numpy/core/src/multiarray/dragon4.c,dragon4.c,,0
numpy-git/numpy/core/src/multiarray/array_coercion.c,array_coercion.c,"229,523,618,725,1073,1185,1188,1193,1304,1372,1451",11
numpy-git/numpy/core/src/multiarray/temp_elide.c,temp_elide.c,,0
numpy-git/numpy/core/src/multiarray/methods.c,methods.c,"1140,1141",2
numpy-git/numpy/core/src/multiarray/datetime_busday.h,datetime_busday.h,,0
numpy-git/numpy/core/src/multiarray/usertypes.h,usertypes.h,,0
numpy-git/numpy/core/src/multiarray/dtypemeta.c,dtypemeta.c,"27,93,94,131,518,545",6
numpy-git/numpy/core/src/multiarray/lowlevel_strided_loops.c.src,lowlevel_strided_loops.c.src,"135,136,221,222,865,866,1511,1525,1526,1534,1535,1656,1677,1679,1687,1689",16
numpy-git/numpy/core/src/multiarray/typeinfo.c,typeinfo.c,,0
numpy-git/numpy/core/src/multiarray/array_method.c,array_method.c,,0
numpy-git/numpy/core/src/multiarray/nditer_pywrap.h,nditer_pywrap.h,,0
numpy-git/numpy/core/src/multiarray/shape.h,shape.h,,0
numpy-git/numpy/core/src/multiarray/alloc.c,alloc.c,"77,79,114,263,327,425,494",7
numpy-git/numpy/core/src/multiarray/common_dtype.c,common_dtype.c,120,1
numpy-git/numpy/core/src/multiarray/_datetime.h,_datetime.h,,0
numpy-git/numpy/core/src/multiarray/conversion_utils.c,conversion_utils.c,,0
numpy-git/numpy/core/src/multiarray/arrayobject.c,arrayobject.c,"256,275",2
numpy-git/numpy/core/src/multiarray/compiled_base.h,compiled_base.h,,0
numpy-git/numpy/core/src/multiarray/legacy_dtype_implementation.h,legacy_dtype_implementation.h,,0
numpy-git/numpy/core/src/multiarray/flagsobject.c,flagsobject.c,,0
numpy-git/numpy/core/src/multiarray/vdot.h,vdot.h,,0
numpy-git/numpy/core/src/multiarray/getset.c,getset.c,,0
numpy-git/numpy/core/src/multiarray/dtype_transfer.c,dtype_transfer.c,"1121,1210,3030,3031,3064,3160,3199,3261,3273,3517",10
numpy-git/numpy/core/src/multiarray/calculation.c,calculation.c,,0
